red_win,red_opr_sum,red_epa_sum,red_climb_l3_any,red_climb_l2_count,red_climb_l1_count,red_auto_align_sum,red_depot_sum,red_outpost_sum,red_under_trench_sum,red_over_bump_sum,red_fuel_scorer_count,red_driver_hours_sum,red_driver_hours_max,red_build_quality_mean,blue_opr_sum,blue_epa_sum,blue_climb_l3_any,blue_climb_l2_count,blue_climb_l1_count,blue_auto_align_sum,blue_depot_sum,blue_outpost_sum,blue_under_trench_sum,blue_over_bump_sum,blue_fuel_scorer_count,blue_driver_hours_sum,blue_driver_hours_max,blue_build_quality_mean
1,97.29512981404864,4385.0,1,1,1,2,1,0,2,3,2,564.0,500.0,32.0,72.07044359335427,4292.0,0,0,1,1,0,0,2,2,3,50.0,30.0,6.0
0,66.35235950661425,4330.0,0,1,2,1,0,0,2,2,1,53.0,32.0,6.333333333333333,75.78501807640822,4354.0,0,1,0,0,0,0,1,3,2,305.0,200.0,6.333333333333333
0,74.13267149723234,4365.0,0,0,0,2,0,2,1,3,2,9.0,5.0,7.666666666666667,181.53151412363863,4533.0,0,0,1,2,0,0,2,2,2,40.0,30.0,32.666666666666664
0,72.12458081474982,4358.0,0,0,1,2,1,0,2,3,3,515.0,475.0,6.666666666666667,157.24040345964642,4536.0,0,0,0,2,0,0,1,3,2,88.0,70.0,5.333333333333333
1,396.5411010981881,4927.0,0,0,2,2,1,1,1,3,3,68.0,50.0,7.666666666666667,133.41619797155838,4393.0,0,0,1,2,1,1,2,3,3,35.0,25.0,6.0
0,93.49945273410768,4419.0,0,1,1,0,0,1,1,2,3,224.0,200.0,7.333333333333333,114.21655628895451,4423.0,1,2,2,2,1,1,1,3,0,506.0,500.0,8.0
0,44.65454255740494,4223.0,0,0,0,1,0,0,2,3,2,0.0,0.0,4.0,103.40326508091147,4479.0,0,0,1,2,0,0,3,2,2,102.0,70.0,6.333333333333333
1,215.72152936266795,4608.0,0,0,3,1,2,2,1,3,2,33.0,18.0,7.333333333333333,9.421748686014524,4130.0,0,0,1,0,0,0,1,2,2,50.0,30.0,29.0
0,152.899323172141,4559.0,0,0,0,2,0,0,2,3,3,503.0,475.0,6.666666666666667,248.41475816087973,4636.0,0,0,1,2,0,0,2,3,2,115.0,60.0,31.666666666666668
1,231.1983702007984,4682.0,0,0,1,2,1,0,0,3,3,100.0,100.0,8.0,76.78737066567133,4289.0,0,0,0,2,0,0,2,3,3,34.0,30.0,7.333333333333333
0,43.82538134368772,4246.0,0,0,0,1,0,1,1,3,2,54.0,40.0,6.666666666666667,153.97126267771196,4495.0,0,0,2,1,1,1,3,1,2,77.0,32.0,5.333333333333333
1,322.16913715741,4850.0,1,1,2,3,1,0,2,3,2,550.0,500.0,9.333333333333334,120.83271229678721,4396.0,0,0,1,1,1,1,1,3,3,26.0,18.0,5.333333333333333
0,59.232784077756506,4342.0,0,0,0,2,0,0,2,3,3,120.0,100.0,7.333333333333333,178.50272635872417,4488.0,0,1,1,1,0,0,1,2,2,31.0,30.0,32.333333333333336
1,259.45896053134584,4712.0,0,0,1,2,0,0,2,3,2,515.0,475.0,7.0,106.27671130079793,4440.0,0,1,1,2,1,0,1,3,3,260.0,200.0,31.333333333333332
1,140.32705025180982,4431.0,0,0,1,2,2,3,1,3,2,35.0,25.0,7.666666666666667,48.60111212336839,4273.0,0,0,0,1,0,0,2,3,2,74.0,70.0,5.0
0,10.0123734787677,4100.0,0,0,1,0,0,0,1,3,2,15.0,10.0,4.666666666666667,11.557801666562554,4192.0,0,0,0,2,0,0,3,2,3,70.0,40.0,31.0
1,208.1508912420989,4573.0,0,0,0,2,0,0,1,3,2,70.0,60.0,30.666666666666668,82.56559315092326,4404.0,0,0,2,0,1,1,2,2,2,150.0,100.0,5.0
1,210.81927295135313,4568.0,0,0,1,2,0,0,2,3,1,10.0,10.0,5.666666666666667,125.91083697949865,4381.0,0,0,0,1,1,1,2,3,3,504.0,475.0,6.333333333333333
1,267.7618735949098,4714.0,0,0,3,2,1,0,1,2,3,70.0,50.0,7.666666666666667,33.43068860704038,4261.0,0,0,1,2,1,1,2,3,3,65.0,40.0,8.0
1,154.47167388537005,4575.0,1,2,1,2,1,0,2,3,2,770.0,500.0,7.0,48.80866427989997,4290.0,0,0,1,2,0,1,1,3,2,15.0,10.0,7.0
1,123.11726039863765,4445.0,0,1,1,1,0,1,1,3,2,35.0,30.0,8.666666666666666,150.9783147359906,4516.0,0,0,0,2,0,0,2,3,2,13.0,8.0,6.333333333333333
1,355.19854797714186,4754.0,0,0,2,2,0,0,0,3,2,60.0,50.0,7.0,186.9763490387451,4506.0,0,0,1,1,0,0,1,2,2,36.0,32.0,6.333333333333333
0,70.3320391105313,4371.0,0,0,1,2,0,0,2,3,3,140.0,70.0,30.0,99.7901171179202,4402.0,1,1,1,2,1,0,3,3,1,540.0,500.0,6.0
0,159.28154775693167,4559.0,0,0,2,1,1,1,1,2,3,33.0,20.0,7.333333333333333,150.1002599526828,4455.0,0,0,0,1,1,2,2,3,2,34.0,25.0,7.666666666666667
1,81.4120009018043,4343.0,0,1,1,2,0,0,2,3,2,1.0,1.0,7.0,73.43153626467594,4352.0,0,0,2,2,2,2,1,3,2,23.0,18.0,6.666666666666667
0,86.60243931285066,4383.0,0,0,0,1,0,0,2,3,2,485.0,475.0,6.0,107.75460941756803,4431.0,0,1,0,2,0,0,2,3,3,250.0,200.0,7.333333333333333
0,13.353565633007072,4162.0,0,0,0,1,0,0,2,2,3,100.0,70.0,30.0,204.0084951482997,4622.0,0,0,2,1,0,0,1,2,2,130.0,100.0,7.0
1,78.95161434829845,4364.0,0,0,1,2,1,1,3,3,3,78.0,60.0,30.666666666666668,93.17515921284229,4394.0,0,0,1,0,1,2,1,3,2,9.0,5.0,7.0
1,88.4591498039466,4372.0,0,0,2,1,1,0,2,2,1,37.0,32.0,5.666666666666667,15.227907396923683,4187.0,0,0,0,2,0,0,2,3,3,44.0,40.0,8.0
0,74.06552258144728,4341.0,0,1,1,1,0,0,1,3,3,210.0,200.0,5.333333333333333,193.9480977007456,4641.0,0,0,0,2,0,0,1,3,3,138.0,100.0,7.333333333333333
0,34.06672872997826,4245.0,0,0,0,1,0,1,2,2,2,510.0,475.0,30.666666666666668,255.14378596636183,4731.0,1,1,1,3,1,0,2,3,2,520.0,500.0,8.666666666666666
1,342.4463290458805,4834.0,0,0,1,3,1,1,2,3,3,145.0,70.0,7.333333333333333,198.50489079634366,4508.0,0,1,2,1,0,0,0,3,0,21.0,10.0,6.333333333333333
0,33.700880082979126,4210.0,0,0,0,2,0,0,3,3,2,45.0,40.0,6.666666666666667,67.24895673846908,4354.0,0,0,1,0,0,1,0,3,3,114.0,100.0,7.0
0,84.48804944793127,4431.0,0,0,1,2,0,0,3,2,3,20.0,20.0,7.333333333333333,235.57248112342327,4671.0,0,0,1,1,1,1,1,3,3,480.0,475.0,7.666666666666667
1,165.9413999814146,4488.0,0,1,2,2,2,1,1,3,2,26.0,25.0,7.666666666666667,25.451749617396423,4178.0,0,0,0,2,0,1,1,3,2,65.0,60.0,30.333333333333332
0,13.310490802389879,4144.0,0,1,0,0,0,0,1,2,3,234.0,200.0,31.0,283.51504184823125,4681.0,0,0,1,2,0,0,1,3,2,90.0,50.0,6.666666666666667
1,221.98935265257975,4701.0,1,1,2,2,1,0,2,2,1,540.0,500.0,6.333333333333333,57.55090449026224,4325.0,0,0,1,1,1,1,3,3,2,38.0,20.0,5.0
0,148.29748238919933,4384.0,0,0,0,2,0,0,1,3,3,40.0,40.0,6.666666666666667,70.73627579712425,4298.0,0,1,2,0,1,1,1,3,1,11.0,5.0,7.666666666666667
0,27.017763975045405,4189.0,0,0,0,0,0,0,0,3,2,114.0,100.0,5.666666666666667,95.97549002779468,4442.0,0,0,0,2,0,0,3,3,3,535.0,475.0,30.333333333333332
1,274.15942826262074,4726.0,0,0,1,3,0,1,0,3,1,23.0,10.0,7.333333333333333,48.29955654383784,4259.0,0,0,1,1,0,0,3,1,2,62.0,32.0,30.0
1,94.10850042181612,4362.0,0,0,1,1,0,0,2,3,2,40.0,30.0,4.666666666666667,85.08092775261045,4410.0,0,0,1,2,1,1,1,3,3,24.0,20.0,8.666666666666666
1,171.6423643122056,4535.0,0,1,0,2,1,1,2,3,3,225.0,200.0,7.666666666666667,80.32845808824763,4422.0,0,0,2,1,1,1,3,2,3,108.0,70.0,5.666666666666667
0,140.15396561277254,4495.0,1,1,2,2,2,1,2,3,2,505.0,500.0,8.333333333333334,270.2175854180057,4710.0,0,0,2,2,0,0,2,2,2,82.0,50.0,6.0
1,159.99846979136208,4549.0,0,0,0,2,0,0,2,3,2,68.0,60.0,29.666666666666668,63.33271130205578,4287.0,0,0,0,0,0,1,1,3,3,479.0,475.0,6.333333333333333
1,120.9548806510652,4481.0,0,0,1,2,1,1,3,3,3,48.0,30.0,7.666666666666667,36.95504013964235,4279.0,0,0,0,3,0,1,2,3,2,115.0,70.0,6.666666666666667
0,48.693355751846646,4253.0,0,0,1,0,0,0,2,2,1,35.0,20.0,5.0,362.07257810449346,4873.0,0,1,1,2,0,0,0,3,2,210.0,200.0,7.666666666666667
0,96.46619609859066,4340.0,0,0,0,2,1,1,3,2,3,75.0,30.0,31.666666666666668,129.14230283009667,4478.0,1,1,3,2,2,0,1,3,2,510.0,500.0,7.0
1,226.48673802515407,4548.0,0,0,2,1,1,1,0,3,3,59.0,50.0,8.333333333333334,87.1968071628825,4400.0,0,1,1,0,0,0,1,3,2,576.0,475.0,6.666666666666667
0,123.92438166162526,4473.0,0,0,1,2,0,0,3,2,2,122.0,60.0,30.333333333333332,167.66361175295123,4571.0,0,0,0,3,0,0,2,3,3,8.0,8.0,8.0
0,36.29540193200934,4288.0,0,0,1,2,0,1,2,2,2,45.0,20.0,7.0,159.0909750062638,4447.0,0,0,2,2,0,0,1,3,2,60.0,40.0,6.333333333333333
0,27.148665708104616,4194.0,0,0,0,0,0,0,3,2,1,35.0,30.0,29.333333333333332,268.5536014237766,4664.0,0,2,2,1,0,0,0,3,2,251.0,200.0,7.666666666666667
1,237.2888172919644,4707.0,0,0,0,2,0,1,1,3,3,74.0,70.0,8.333333333333334,58.970496343275904,4293.0,0,0,1,2,1,0,1,3,3,4.0,4.0,7.0
1,95.5454607876649,4373.0,1,1,1,1,1,0,1,3,2,600.0,500.0,6.666666666666667,139.20170963389793,4410.0,0,0,1,1,2,2,2,3,2,53.0,25.0,5.0
